"videoid;""analysistype"";""score"";""type"";""text"";""section"";""source""",
"facebook1386460418125111;""KeyPhrases"";0","815702021121979;;""a poop bank"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999752700328827;;""the donors"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99820077419281;;""my immune system"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","960858523845673;""QUANTITY"";""80%"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","982375085353851;;""Clostridium difficile"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997921824455261;;""the filters"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998734295368195;;""their system"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","999880790710449;""QUANTITY"";""about 150"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","978039383888245;;""fecal material"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999641478061676;;""the camera"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","999996423721314;""OTHER"";""AIDS"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","981445014476776;;""Most people"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999565064907074;;""an hour"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","893114984035492;;""the country"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","733396768569946;;""each donor"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","9982088804245;;""chronic pelvic pain"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","978498160839081;;""the toilet bowl"";0;""subtitles"""
