"video_id","name","attribute_type"
"facebook10154448823304205","Crowd","Rekognition Labels"
"facebook10154410776394205","Crowd","Rekognition Labels"
"facebook10154875697474205","Crowd","Rekognition Labels"
"facebook10155333763299205","Executive","Rekognition Labels"
"facebook10154955635619205","Intersection","Rekognition Labels"
"facebook10154475706859205","Jersey","Rekognition Labels"
"facebook10153686408054205","Jersey","Rekognition Labels"
"facebook10154840630879205","License Plate","Rekognition Labels"
"facebook10154684443609205","Newborn","Rekognition Labels"
"facebook10154618928554205","Newborn","Rekognition Labels"
"facebook10154047997774205","Pedestrian","Rekognition Labels"
"facebook10154944144584205","Pedestrian","Rekognition Labels"
"facebook1386460418125111","Smile","Rekognition Labels"
"facebook10154893718034205","Crowd","Rekognition Labels"
"facebook10154678475584205","Crowd","Rekognition Labels"
"facebook10154495684584205","Crowd","Rekognition Labels"
"facebook10155330738704205","Crowd","Rekognition Labels"
"facebook10155017669219205","Crowd","Rekognition Labels"
"facebook10155167824359205","Crowd","Rekognition Labels"
"facebook10155113408869205","Crowd","Rekognition Labels"
"facebook10153515981989205","Crowd","Rekognition Labels"
"facebook10154672059924205","Doctor","Rekognition Labels"
"facebook10153552924729205","Executive","Rekognition Labels"
"facebook10155510542154205","Executive","Rekognition Labels"
"facebook10154875697474205","American Flag","Rekognition Labels"
"facebook10154494316084205","Architecture","Rekognition Labels"
"facebook10154990092349205","Architecture","Rekognition Labels"
"facebook10154859927574205","Comb","Rekognition Labels"
"facebook10154986308819205","Headband","Rekognition Labels"
"facebook10154746856159205","Paper","Rekognition Labels"
"facebook10154893718034205","Paper","Rekognition Labels"
"facebook10154618928554205","Paper","Rekognition Labels"
"facebook10153528453574205","Paper","Rekognition Labels"
"facebook10154684443609205","Party","Rekognition Labels"
"facebook10154746856159205","Receipt","Rekognition Labels"
"facebook10154699846294205","Screen","Rekognition Labels"
"facebook10154556967779205","Screen","Rekognition Labels"
"facebook10155315487584205","Screen","Rekognition Labels"
"facebook10153752516194205","Suit","Rekognition Labels"
"facebook10153689741269205","Suit","Rekognition Labels"
"facebook10154672059924205","Suit","Rekognition Labels"
"facebook10154935736199205","Suit","Rekognition Labels"
"facebook10154058667789205","Suit","Rekognition Labels"
"facebook10155150397374205","Trademark","Rekognition Labels"
"facebook10154146814364205","Trademark","Rekognition Labels"
